date, awayTeam, homeTeam, homeWin, spread, ou, hWRCL, hWRCR, hFRM, hOAA, hBsR, hHand, hSpxFIP, hRpxFIP, hSpIperG, aWRCL, aWRCR, aFRM, aOAA, aBsR, aHand, aSpxFIP, aRpxFIP, aSpIperG
2021-05-06,MIL,PHI,1,2,2,92,76,6.2,-20.0,7.8,1,3.55,4.27,6.344,117,75,12.5,-18.0,8.5,1,3.04,4.05,5.833
2021-05-06,NYM,STL,0,-3,5,127,86,-7.9,49.0,11.7,1,5.12,4.65,5.0,111,93,2.2,24.0,-13.5,1,4.39,4.15,5.4
2021-05-06,DET,BOS,1,3,21,101,107,0.4,-39.0,-4.4,1,3.56,4.23,5.678,33,74,-13.0,-16.0,1.2,1,4.67,4.69,5.333
2021-05-06,CLE,KCR,0,-4,4,81,96,-17.3,23.0,13.2,-1,3.74,4.5,6.0,82,84,2.2,20.0,7.4,-1,5.0,3.96,3.75
2021-05-06,TEX,MIN,0,-1,7,100,96,5.9,5.0,-3.1,1,3.85,4.27,5.407,86,96,16.7,28.0,-1.8,1,5.33,4.43,4.667
2021-05-07,PHI,ATL,0,-10,14,46,104,-0.4,5.0,5.4,1,3.5,4.36,5.511,94,74,6.2,-20.0,7.8,1,3.39,4.27,6.344
2021-05-07,PIT,CHC,1,1,5,109,87,-4.3,11.0,-8.6,1,6.37,4.26,3.833,70,82,7.2,-8.0,-3.9,1,3.49,4.67,4.807
2021-05-07,ARI,NYM,1,1,9,113,94,2.2,24.0,-13.5,-1,2.91,4.15,4.807,125,85,-2.6,-14.0,6.6,1,4.01,4.98,5.017
2021-05-07,SDP,SFG,1,1,9,105,92,5.5,27.0,-6.4,1,3.56,4.2,6.0,78,90,-2.7,14.0,0.7,-1,3.26,4.18,4.178
2021-05-07,COL,STL,1,5,5,127,82,-7.9,49.0,11.7,1,3.96,4.65,5.672,82,77,0.7,1.0,12.4,-1,5.14,4.63,4.833
2021-05-07,LAD,LAA,1,7,11,91,105,3.9,-24.0,6.8,1,3.43,4.38,4.5,80,114,4.4,-13.0,9.3,-1,3.14,4.07,6.178
2021-05-07,BOS,BAL,0,-4,8,98,68,-21.3,-33.0,-6.2,1,4.6,4.76,5.167,101,110,0.4,-39.0,-4.4,-1,2.85,4.23,5.6
2021-05-07,CIN,CLE,0,-3,3,86,84,2.2,20.0,7.4,1,4.29,3.96,5.333,66,107,1.4,-36.0,-15.1,-1,3.85,4.34,5.4
2021-05-07,MIN,DET,0,-4,10,33,76,-13.0,-16.0,1.2,-1,7.06,4.69,4.008,97,95,5.9,5.0,-3.1,1,5.5,4.27,4.6
2021-05-07,TOR,HOU,1,6,14,100,100,0.8,42.0,-6.2,1,4.97,4.19,5.667,92,90,5.0,-13.0,2.8,1,4.41,4.22,4.022
2021-05-07,CHW,KCR,0,-3,3,81,93,-17.3,23.0,13.2,1,5.57,4.5,3.672,128,97,-13.4,-10.0,-0.9,-1,3.14,3.83,6.25
2021-05-07,WSN,NYY,0,-7,15,116,91,3.0,-22.0,-15.1,1,3.91,3.78,4.407,114,74,-6.8,-27.0,-25.4,-1,5.73,4.75,4.607
2021-05-07,TBR,OAK,1,1,3,112,87,9.0,20.0,11.8,-1,3.77,4.69,5.511,92,97,5.1,32.0,11.2,-1,3.82,3.98,4.172
2021-05-07,SEA,TEX,0,-1,9,84,97,16.7,28.0,-1.8,1,4.34,4.43,5.506,77,81,-4.8,-7.0,-7.1,1,4.42,4.18,5.4
2021-05-08,PIT,CHC,1,1,5,109,87,-4.3,11.0,-8.6,1,4.3,4.26,4.5,73,81,7.2,-8.0,-3.9,1,5.76,4.67,4.5
2021-05-08,MIL,MIA,0,-4,8,101,83,1.7,-11.0,0.4,-1,5.75,4.29,4.344,110,71,12.5,-18.0,8.5,1,3.91,4.05,5.011
2021-05-08,SDP,SFG,1,6,8,103,92,5.5,27.0,-6.4,1,3.76,4.2,6.511,82,88,-2.7,14.0,0.7,1,2.43,4.18,5.667
2021-05-09,CHW,KCR,0,-6,12,76,91,-17.3,23.0,13.2,-1,4.64,4.5,5.167,133,96,-13.4,-10.0,-0.9,1,3.38,3.83,5.011
2021-05-09,WSN,NYY,1,1,5,117,87,3.0,-22.0,-15.1,1,3.96,3.78,5.0,105,78,-6.8,-27.0,-25.4,1,4.82,4.75,5.213
2021-05-09,TBR,OAK,0,-1,7,109,89,9.0,20.0,11.8,-1,3.78,4.69,5.833,85,96,5.1,32.0,11.2,-1,2.96,3.98,4.0
2021-05-09,SEA,TEX,1,8,12,87,102,16.7,28.0,-1.8,1,3.3,4.43,4.672,78,87,-4.8,-7.0,-7.1,-1,4.64,4.18,5.6
